	OTU	Taxonomy	SampleID	GROUP	Value
72969	OTU216	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Candidatus Soleaferrea|s_Bittarella massiliensis	SMPL60	no	5
72970	OTU216	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Candidatus Soleaferrea|s_Bittarella massiliensis	SMPL57	yes	4
72975	OTU216	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Candidatus Soleaferrea|s_Bittarella massiliensis	SMPL63	yes	4
72977	OTU216	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Candidatus Soleaferrea|s_Bittarella massiliensis	SMPL65	no	26
72984	OTU216	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Candidatus Soleaferrea|s_Bittarella massiliensis	SMPL72	yes	1
72994	OTU216	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Candidatus Soleaferrea|s_Bittarella massiliensis	SMPL82	yes	4
73000	OTU216	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Candidatus Soleaferrea|s_Bittarella massiliensis	SMPL88	no	1
73013	OTU216	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Candidatus Soleaferrea|s_Bittarella massiliensis	SMPL100	no	1
73049	OTU243	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Family XIII|g_Family XIII UCG-001|s_?	SMPL25	yes	71
73050	OTU243	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Family XIII|g_Family XIII UCG-001|s_?	SMPL26	yes	65
73052	OTU243	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Family XIII|g_Family XIII UCG-001|s_?	SMPL28	yes	23
73056	OTU243	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Family XIII|g_Family XIII UCG-001|s_?	SMPL32	yes	1
73058	OTU243	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Family XIII|g_Family XIII UCG-001|s_?	SMPL34	yes	2
73089	OTU243	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Family XIII|g_Family XIII UCG-001|s_?	SMPL65	no	6
73114	OTU243	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Family XIII|g_Family XIII UCG-001|s_?	SMPL90	no	1
73142	OTU270	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_?|g_?|s_?	SMPL6	no	66
73143	OTU270	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_?|g_?|s_?	SMPL7	no	21
73146	OTU270	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_?|g_?|s_?	SMPL10	no	12
73148	OTU270	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_?|g_?|s_?	SMPL12	no	1
73161	OTU270	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_?|g_?|s_?	SMPL25	yes	1
73164	OTU270	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_?|g_?|s_?	SMPL28	yes	1
73174	OTU270	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_?|g_?|s_?	SMPL38	no	11
73176	OTU270	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_?|g_?|s_?	SMPL40	no	5
73182	OTU270	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_?|g_?|s_?	SMPL46	no	3
73184	OTU270	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_?|g_?|s_?	SMPL48	no	1
73201	OTU270	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_?|g_?|s_?	SMPL65	no	8
73210	OTU270	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_?|g_?|s_?	SMPL74	yes	4
73220	OTU270	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_?|g_?|s_?	SMPL84	no	1
73224	OTU270	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_?|g_?|s_?	SMPL88	no	8
73232	OTU270	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_?|g_?|s_?	SMPL96	no	2
73252	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL4	yes	2
73265	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL17	yes	56
73266	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL18	yes	188
73267	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL19	yes	238
73268	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL20	yes	21
73269	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL21	yes	165
73270	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL22	yes	5
73271	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL23	yes	126
73273	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL25	yes	17
73274	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL26	yes	8
73276	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL28	yes	9
73282	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL34	yes	39
73283	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL35	no	279
73284	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL36	no	294
73286	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL38	no	25
73288	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL40	no	48
73290	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL42	no	1
73292	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL44	no	1
73293	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL45	no	1167
73294	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL46	no	5
73295	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL47	no	22
73296	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL48	no	540
73297	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL49	no	1
73300	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL52	no	1
73305	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL60	no	1
73308	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL59	yes	200
73313	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL65	no	6
73330	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL82	yes	3
73331	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL83	no	4
73338	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL90	no	6
73343	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL95	no	1
73347	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL99	yes	2
73349	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL100	no	4
73350	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL101	no	3
73352	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL103	no	44
73356	OTU59	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_?	SMPL108	no	1
73395	OTU299	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL35	no	4
73398	OTU299	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL38	no	15
73400	OTU299	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL40	no	99
73489	OTU269	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL17	yes	3
73490	OTU269	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL18	yes	1
73491	OTU269	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL19	yes	3
73492	OTU269	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL20	yes	3
73493	OTU269	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL21	yes	13
73494	OTU269	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL22	yes	2
73495	OTU269	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL23	yes	13
73528	OTU269	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL56	no	3
73532	OTU269	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL59	yes	71
73535	OTU269	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL63	yes	17
73546	OTU269	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL74	yes	16
73590	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL6	no	6
73591	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL7	no	1
73593	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL9	no	5
73594	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL10	no	13
73596	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL12	no	6
73601	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL17	yes	3
73602	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL18	yes	6
73603	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL19	yes	1
73604	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL20	yes	1
73607	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL23	yes	1
73609	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL25	yes	28
73612	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL28	yes	4
73616	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL32	yes	2
73619	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL35	no	6
73620	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL36	no	1
73622	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL38	no	6
73624	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL40	no	27
73629	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL45	no	2
73631	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL47	no	1
73642	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL57	yes	2
73644	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL59	yes	3
73648	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL64	yes	1
73649	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL65	no	3
73658	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL74	yes	1
73666	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL82	yes	1
73672	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL88	no	2
73686	OTU282	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL101	no	1
73721	OTU258	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-010|s_?	SMPL25	yes	89
73728	OTU258	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-010|s_?	SMPL32	yes	5
73731	OTU258	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-010|s_?	SMPL35	no	15
73732	OTU258	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-010|s_?	SMPL36	no	10
73734	OTU258	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-010|s_?	SMPL38	no	30
73764	OTU258	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-010|s_?	SMPL68	yes	3
73768	OTU258	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-010|s_?	SMPL72	yes	2
73795	OTU258	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-010|s_?	SMPL99	yes	1
73813	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL5	no	1
73827	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL19	yes	3
73831	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL23	yes	2
73834	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL26	yes	1
73836	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL28	yes	3
73840	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL32	yes	4
73842	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL34	yes	3
73846	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL38	no	3
73848	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL40	no	12
73854	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL46	no	2
73856	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL48	no	1
73862	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL54	yes	1
73865	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL60	no	1
73868	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL59	yes	19
73876	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL68	yes	1
73878	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL69	yes	11
73881	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL73	yes	1
73887	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL79	no	9
73888	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL80	yes	2
73889	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL81	yes	2
73890	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL82	yes	6074
73896	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL88	no	1
73907	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL99	yes	30
73909	OTU45	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_?	SMPL100	no	1
73926	OTU266	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelotrichaceae UCG-003|s_?	SMPL6	no	24
73927	OTU266	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelotrichaceae UCG-003|s_?	SMPL7	no	5
73929	OTU266	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelotrichaceae UCG-003|s_?	SMPL9	no	17
73930	OTU266	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelotrichaceae UCG-003|s_?	SMPL10	no	25
73932	OTU266	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelotrichaceae UCG-003|s_?	SMPL12	no	13
73934	OTU266	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelotrichaceae UCG-003|s_?	SMPL14	no	25
74004	OTU266	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelotrichaceae UCG-003|s_?	SMPL84	no	7
74005	OTU266	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelotrichaceae UCG-003|s_?	SMPL85	no	14
74008	OTU266	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelotrichaceae UCG-003|s_?	SMPL88	no	11
74016	OTU266	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelotrichaceae UCG-003|s_?	SMPL96	no	6
74038	OTU264	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-013|s_gut metagenome	SMPL6	no	44
74041	OTU264	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-013|s_gut metagenome	SMPL9	no	6
74044	OTU264	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-013|s_gut metagenome	SMPL12	no	10
74046	OTU264	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-013|s_gut metagenome	SMPL14	no	17
74049	OTU264	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-013|s_gut metagenome	SMPL17	yes	13
74050	OTU264	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-013|s_gut metagenome	SMPL18	yes	21
74051	OTU264	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-013|s_gut metagenome	SMPL19	yes	3
74053	OTU264	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-013|s_gut metagenome	SMPL21	yes	12
74055	OTU264	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-013|s_gut metagenome	SMPL23	yes	7
74117	OTU264	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-013|s_gut metagenome	SMPL85	no	6
74120	OTU264	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-013|s_gut metagenome	SMPL88	no	2
74133	OTU264	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-013|s_gut metagenome	SMPL100	no	2
74134	OTU264	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-013|s_gut metagenome	SMPL101	no	1
74136	OTU264	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-013|s_gut metagenome	SMPL103	no	1
74138	OTU264	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-013|s_gut metagenome	SMPL105	no	1
74140	OTU264	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-013|s_gut metagenome	SMPL108	no	4
74179	OTU263	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL35	no	39
74180	OTU263	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL36	no	18
74182	OTU263	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL38	no	26
74183	OTU263	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL39	no	2
74184	OTU263	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL40	no	66
74257	OTU262	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacteriales|f_Enterobacteriaceae|g_Klebsiella|s_?	SMPL1	yes	125
74259	OTU262	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacteriales|f_Enterobacteriaceae|g_Klebsiella|s_?	SMPL3	yes	11
74270	OTU262	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacteriales|f_Enterobacteriaceae|g_Klebsiella|s_?	SMPL14	no	5
74277	OTU262	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacteriales|f_Enterobacteriaceae|g_Klebsiella|s_?	SMPL21	yes	1
74281	OTU262	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacteriales|f_Enterobacteriaceae|g_Klebsiella|s_?	SMPL25	yes	3
74320	OTU262	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacteriales|f_Enterobacteriaceae|g_Klebsiella|s_?	SMPL64	yes	1
